id;nombre;apellido;equipo;plan;categoria;fecha;distrito;vendedor;correo;promocion;monto_venta;descuento;total_con_descuento
ENT2024-00012;Diego;Díaz;Infinix Note 40;Empresa 200GB;Prepago;2024-12-01;Magdalena del Mar;Vendedor 26;diego.díaz@entel.pe;Instalación gratis;163.24;0.2;130.59
ENT2024-00013;Daniel;  Morales  ;Xiaomi Redmi Note 13;Prepago 10GB;Empresa;2024-10-26;Chorrillos;Vendedor 38;daniel.morales@entel.pe;Roaming gratis 1 mes;4095.68;0.2;3276.54
ENT2024-00014;Héctor;  Cruz  ;Xiaomi Redmi Note 13;Hogar Fibra 500Mbps;Postpago;2024-01-25;La Molina;Vendedor 10;héctor.cruz@entel.pe;Descuento 20%;2170.99;0.2;1736.79
ENT2024-00015;Emilio;Peña;Infinix Note 40;Postpago 100GB;Hogar;2024-07-14;Villa El Salvador;Vendedor 30;emilio.pena@entel.pe;2x1 accesorios;1420.6;0.2;1136.48
ENT2024-00016;Sandra;  García  ;Router 4G Entel;Postpago 100GB;Empresa;24/11/2024;  Carabayllo  ;Vendedor 08;sandra.garcía@entel.pe;2x1 accesorios;5654.68;0.1;5089.21
ENT2024-00017;Iván;Hernández;Xiaomi 13T;Postpago 50GB;Empresa;2024-09-13;Barranco;Vendedor 33;iván.hernández@entel.pe;Mes gratis;3978.56;0;3978.56
ENT2024-00018;Alvaro;Castillo;Tablet Samsung Tab A8;Prepago 10GB;Prepago;2024-07-10;  Barranco  ;Vendedor 35;;Sin promo;114.52;0.1;103.07
ENT2024-00019;  Beatriz  ;Salazar;Xiaomi 13T;Postpago 50GB;Postpago;2024-07-04;  Comas  ;Vendedor 16;beatriz.salazar@entel.pe;Sin promo;1762.89;0;1762.89
ENT2024-00020;Natalia;Carrasco;iPhone 15;Postpago 100GB;Hogar;2024-02-05;  Cercado de Lima  ;Vendedor 50;natalia.carrasco@entel.pe;;857.57;0.5;428.78
ENT2024-00021;Andrés;Ponce;Xiaomi 13T;Postpago Ilimitado;Empresa;2024-09-27;  Villa El Salvador  ;Vendedor 28;andrés.ponce@entel.pe;Descuento 50% en 3 meses;4142.9;0;4142.9
ENT2024-00022;Mónica;Salgado;Router 5G Entel;Prepago 10GB;Empresa;2024-07-23;Surquillo;Vendedor 42;mónica.salgado@entel.pe;Bonificación 50GB;6535.52;0;6535.52
ENT2024-00023;Martín;Reyes;Xiaomi 13T;Postpago 100GB;Prepago;2024-04-25;San Isidro;Vendedor 22;martín.reyes@entel.pe;Sin promo;163.5;0.1;147.15
ENT2024-00024;Claudia;  Ortega  ;Motorola Moto G54;Prepago 10GB;Postpago;2024-02-06;Los Olivos;Vendedor 41;claudia.ortega@entel.pe;Sin promo;2230.9;0.1;2007.81
ENT2024-00025;Sofía;Martínez;Samsung Galaxy S24;Empresa 200GB;Postpago;2024-09-20;  Jesús María  ;Vendedor 18;sofía.martínez@entel.pe;Instalación gratis;2105.65;0.1;1895.08
ENT2024-00026;Lucía;Vega;Xiaomi Redmi Note 13;Hogar Fibra 500Mbps;Prepago;2024-08-30;  Chorrillos  ;Vendedor 13;lucía.vega@entel.pe;Mes gratis;200.16;0.5;100.08
ENT2024-00027;  Pedro  ;  Ponce  ;iPhone 14;Empresa 200GB;Hogar;2024-07-29;  Pueblo Libre  ;Vendedor 47;pedro.ponce@entel.pe;Sin promo;1430.3;0.2;1144.24
ENT2024-00028;Emilio;Tapia;Router 4G Entel;;Postpago;2024-07-25;El Agustino;Vendedor 22;emilio.tapia@entel.pe;Mes gratis;1510.29;0.5;755.14
ENT2024-00029;  Natalia  ;Rojas;Motorola Moto G54;Hogar Fibra 500Mbps;Prepago;04/08/2024;Barranco;Vendedor 18;natalia.rojas@entel.pe;Instalación gratis;159.61;0.1;143.65
ENT2024-00030;Natalia;Martínez;Xiaomi 13T;Postpago 100GB;Postpago;2024-11-29;Cercado de Lima;Vendedor 01;natalia.martínez@entel.pe;Mes gratis;1283.27;0.5;641.64
ENT2024-00031;  Nahuel  ;  Gutiérrez  ;Xiaomi Redmi Note 13;;Hogar;2024-09-03;  San Borja  ;Vendedor 26;nahuel.gutiérrez@entel.pe;Sin promo;1323.07;0.1;1190.76
ENT2024-00032;María;  Huaman  ;Samsung Galaxy S24;Hogar Fibra 200Mbps;Empresa;2024-08-20;  Comas  ;Vendedor 28;maría.huaman@entel.pe;Instalación gratis;7355.04;0.5;3677.52
ENT2024-00033;Daniel;Rojas;Huawei P60;Prepago 10GB;Postpago;2024-10-23;El Agustino;Vendedor 35;daniel.rojas@entel.pe;Sin promo;1372.04;0;1372.04
ENT2024-00034;Renzo;  Salazar  ;Samsung Galaxy S24;Postpago 50GB;Hogar;2024-09-14;Lince;Vendedor 11;renzo.salazar@entel.pe;Sin promo;1291.36;0.5;645.68
ENT2024-00035;Patricia;Pérez;Tablet Samsung Tab A8;Postpago Ilimitado;Postpago;2024-10-31;San Isidro;Vendedor 44;patricia.pérez@entel.pe;Descuento 50% en 3 meses;1333.26;0.5;666.63
ENT2024-00036;Esteban;  Torres  ;Infinix Note 40;Prepago 10GB;Postpago;2024-11-13;  San Isidro  ;Vendedor 27;esteban.torres@entel.pe;Bonificación 50GB;1133.56;0;1133.56
ENT2024-00037;  Paola  ;Díaz;Router 4G Entel;Empresa 200GB;Prepago;2024-05-15;Callao;Vendedor 09;paola.díaz@entel.pe;2x1 accesorios;448.72;0.2;358.98
ENT2024-00038;Pablo;  Salazar  ;Laptop HP 15;Postpago 100GB;Postpago;2024-08-22;Villa El Salvador;Vendedor 37;pablo.salazar@entel.pe;Mes gratis;2241.89;0.1;2017.7
ENT2024-00039;Diego;Vega;Motorola Moto G54;Prepago 30GB;Prepago;2024-06-27;San Isidro;Vendedor 16;diego.vega@entel.pe;Bonificación 50GB;329.04;0.1;296.14
ENT2024-00040;Rosa;Hernández;Xiaomi 13T;Prepago 30GB;Postpago;2024-12-07;Cercado de Lima;Vendedor 20;rosa.hernández@entel.pe;Mes gratis;2566.2;0.1;2309.58
ENT2024-00041;  Andrés  ;Morales;iPhone 15;;Prepago;2024-05-19;Comas;Vendedor 39;andrés.morales@entel.pe;Descuento 50% en 3 meses;448.73;0.1;403.86
ENT2024-00042;Felipe;  Medina  ;;;Hogar;2024-05-08;Miraflores;Vendedor 06;felipe.medina@entel.pe;Roaming gratis 1 mes;1840.17;0;1840.17
ENT2024-00043;Verónica;López;Samsung Galaxy S24;Empresa 200GB;Prepago;2024-11-22;  San Martín de Porres  ;Vendedor 11;verónica.lópez@entel.pe;Instalación gratis;396.44;0.1;356.8
ENT2024-00044;Sandra;  Fajardo  ;iPhone 14;Postpago 50GB;Postpago;2024-02-08;Los Olivos;Vendedor 10;sandra.fajardo@entel.pe;Sin promo;1576.49;0;1576.49
ENT2024-00045;Héctor;  Olivares  ;Oppo Reno10;Postpago Ilimitado;Hogar;2024-03-06;Miraflores;Vendedor 20;héctor.olivares@entel.pe;Bonificación 50GB;1364.3;0.1;1227.87
ENT2024-00046;Carlos;Benítez;Motorola Moto G54;Prepago 10GB;Postpago;2024-06-30;  Cercado de Lima  ;Vendedor 27;carlos.benítez@entel.pe;Descuento 20%;1846.53;0;1846.53
ENT2024-00047;Natalia;Hernández;Laptop HP 15;Postpago Ilimitado;Hogar;2024-01-13;  Barranco  ;Vendedor 48;natalia.hernández@entel.pe;Bonificación 50GB;1001.51;0.2;801.21
ENT2024-00048;Gonzalo;Ponce;Tablet Samsung Tab A8;Prepago 10GB;Empresa;22/03/2024;Los Olivos;Vendedor 07;gonzalo.ponce@entel.pe;Roaming gratis 1 mes;3085.91;0.1;2777.32
ENT2024-00049;  Carlos  ;Herrera;Motorola Moto G54;Prepago 10GB;Hogar;2024-06-28;Comas;Vendedor 15;carlos.herrera@entel.pe;Descuento 50% en 3 meses;1953.61;0.1;1758.25
ENT2024-00050;  Luis  ;Ponce;Motorola Moto G54;Hogar Fibra 200Mbps;Empresa;22/05/2024;San Isidro;Vendedor 50;luis.ponce@entel.pe;2x1 accesorios;6013.17;0.1;5411.85
ENT2024-00051;Raúl;Tapia;Oppo Reno10;Hogar Fibra 200Mbps;Empresa;2024-01-15;  La Molina  ;Vendedor 17;raúl.tapia@entel.pe;Descuento 20%;3385.24;0;3385.24
ENT2024-00052;Claudia;  Morales  ;;Postpago 100GB;Hogar;2024-06-25;El Agustino;Vendedor 21;claudia.morales@entel.pe;Roaming gratis 1 mes;1727.4;0.5;863.7
ENT2024-00053;Beatriz;  Paredes  ;iPhone 15;Hogar Fibra 200Mbps;Prepago;2024-05-10;  Miraflores  ;Vendedor 46;beatriz.paredes@entel.pe;Roaming gratis 1 mes;207.62;0.1;186.86
ENT2024-00054;Juan;Reyes;Laptop HP 15;Prepago 10GB;Empresa;2024-08-08;San Isidro;Vendedor 43;juan.reyes@entel.pe;Bonificación 50GB;6915.72;0.1;6224.15
ENT2024-00055;Camila;  Salazar  ;Router 4G Entel;Postpago 100GB;Empresa;2024-09-16;Comas;Vendedor 43;camila.salazar@entel.pe;Roaming gratis 1 mes;5669.77;0;5669.77
ENT2024-00056;Fernando;Chávez;Router 5G Entel;Prepago 30GB;Prepago;2024-04-08;Chorrillos;Vendedor 43;fernando.chávez@entel.pe;Roaming gratis 1 mes;411.62;0.1;370.46
ENT2024-00057;Emilio;Cruzado;Xiaomi Redmi Note 13;Prepago 30GB;Hogar;2024-10-07;Lima;Vendedor 20;emilio.cruzado2@entel.pe;2x1 accesorios;1464.13;0.1;1317.72
ENT2024-00058;Lucía;  Peña  ;;Empresa 200GB;Hogar;2024-08-14;  Pueblo Libre  ;Vendedor 44;lucía.pena@entel.pe;Descuento 50% en 3 meses;1242.72;0.5;621.36
ENT2024-00059;Patricia;Herrera;Laptop HP 15;Postpago Ilimitado;Postpago;2024-05-25;Lince;Vendedor 43;patricia.herrera@entel.pe;Bonificación 50GB;1357.85;0.2;1086.28
ENT2024-00060;  Miguel  ;Salgado;Motorola Moto G54;Prepago 30GB;Prepago;11/04/2024;  Santiago de Surco  ;Vendedor 02;miguel.salgado@entel.pe;Sin promo;313.46;0.1;282.11
ENT2024-00061;Natalia;Herrera;Infinix Note 40;Postpago 100GB;Hogar;31/07/2024;  Villa María del Triunfo  ;Vendedor 37;natalia.herrera@entel.pe;Descuento 50% en 3 meses;1024.17;0.1;921.75
ENT2024-00062;  Felipe  ;De la Cruz;iPhone 14;Hogar Fibra 500Mbps;Hogar;2024-05-04;Santiago de Surco;Vendedor 42;felipe.delacruz@entel.pe;Sin promo;1744.29;0;1744.29
ENT2024-00063;  Nahuel  ;Molina;;Hogar Fibra 200Mbps;Prepago;2024-03-31;Los Olivos;Vendedor 34;nahuel.molina@entel.pe;Instalación gratis;230.19;0.2;184.15
ENT2024-00064;  José  ;Ortega;Motorola Moto G54;;Hogar;2024-03-09;  Pueblo Libre  ;Vendedor 43;josé.ortega@entel.pe;Bonificación 50GB;1006.15;0.1;905.54
ENT2024-00065;Nahuel;  Soto  ;Infinix Note 40;Hogar Fibra 200Mbps;Hogar;2024-03-22;El Agustino;Vendedor 31;nahuel.soto@entel.pe;Instalación gratis;1126.8;0.5;563.4
ENT2024-00066;Paola;Salgado;Motorola Moto G54;Prepago 30GB;Hogar;2024-11-16;Jesús María;Vendedor 18;paola.salgado@entel.pe;Instalación gratis;1775.97;0.1;1598.37
ENT2024-00067;  Diego  ;Fajardo;Huawei P60;Prepago 10GB;Empresa;2024-06-20;Carabayllo;Vendedor 35;diego.fajardo@entel.pe;Mes gratis;5504.57;0.2;4403.66
ENT2024-00068;Andrés;Vargas;Motorola Moto G54;Hogar Fibra 200Mbps;Prepago;2024-12-27;  San Borja  ;Vendedor 05;andrés.vargas@entel.pe;Roaming gratis 1 mes;457.94;0.1;412.15
ENT2024-00069;Gonzalo;Medina;Oppo Reno10;Hogar Fibra 500Mbps;Hogar;2024-02-01;  San Borja  ;Vendedor 27;gonzalo.medina@entel.pe;Roaming gratis 1 mes;1272.57;0.5;636.28
ENT2024-00070;Marco;Olivares;Router 5G Entel;Postpago 50GB;Hogar;2024-09-01;Lima;Vendedor 23;marco.olivares@entel.pe;2x1 accesorios;1000.4;0.1;900.36
ENT2024-00071;Nahuel;Huaman;Tablet Samsung Tab A8;Hogar Fibra 200Mbps;Prepago;2024-09-06;  Jesús María  ;Vendedor 18;nahuel.huaman@entel.pe;Roaming gratis 1 mes;287.63;0;287.63
ENT2024-00072;  Laura  ;  Rodríguez  ;iPhone 14;Empresa 200GB;Hogar;25/03/2024;Pueblo Libre;Vendedor 09;laura.rodríguez@entel.pe;Sin promo;1815.84;0.2;1452.67
ENT2024-00073;Esteban;Olivares;Infinix Note 40;Postpago 50GB;Postpago;2024-11-25;  Chorrillos  ;Vendedor 09;esteban.olivares@entel.pe;Instalación gratis;1483.85;0.2;1187.08
ENT2024-00074;  Ana  ;  González  ;Huawei P60;;Empresa;18/04/2024;Pueblo Libre;Vendedor 21;ana.gonzález@entel.pe;Bonificación 50GB;6044.85;0.5;3022.42
ENT2024-00075;Nahuel;Huaman;Huawei P60;Hogar Fibra 200Mbps;Empresa;2024-02-11;Magdalena del Mar;Vendedor 02;nahuel.huaman2@entel.pe;Sin promo;4835.95;0.1;4352.35
ENT2024-00076;  Raúl  ;  Cruz  ;Router 4G Entel;Postpago 100GB;Postpago;16/01/2024;Jesús María;Vendedor 13;raúl.cruz@entel.pe;Sin promo;2566.31;0.2;2053.05
ENT2024-00077;Camila;Vargas;Motorola Moto G54;Postpago Ilimitado;Hogar;2024-12-08;La Molina;Vendedor 37;camila.vargas@entel.pe;Descuento 50% en 3 meses;1354.89;0.5;677.44
ENT2024-00078;Pablo;De la Cruz;Huawei P60;Empresa 200GB;Prepago;2024-11-06;Villa El Salvador;Vendedor 48;pablo.delacruz@entel.pe;Mes gratis;281.98;0.5;140.99
ENT2024-00079;  Marco  ;Hernández;Huawei P60;Postpago 100GB;Postpago;2024-06-08;Ate;Vendedor 44;marco.hernández@entel.pe;Roaming gratis 1 mes;2420.42;0.1;2178.38
ENT2024-00080;Esteban;Fajardo;Motorola Moto G54;;Prepago;2024-02-22;Los Olivos;Vendedor 50;esteban.fajardo@entel.pe;2x1 accesorios;385.37;0.5;192.68
ENT2024-00081;Emilio;  Cáceres  ;;Postpago 100GB;Postpago;2024-06-26;  Cercado de Lima  ;Vendedor 28;emilio.cáceres@entel.pe;Bonificación 50GB;1324.17;0.2;1059.34
ENT2024-00082;Diego;  Paredes  ;Router 4G Entel;Empresa 200GB;Postpago;2024-08-03;  Magdalena del Mar  ;Vendedor 07;diego.paredes@entel.pe;Roaming gratis 1 mes;2212.02;0.2;1769.62
ENT2024-00083;  Héctor  ;  Pizarro  ;Tablet Samsung Tab A8;Hogar Fibra 500Mbps;Prepago;2024-08-10;Barranco;Vendedor 47;héctor.pizarro@entel.pe;2x1 accesorios;116.91;0.1;105.22
ENT2024-00084;  Camila  ;Vega;Laptop HP 15;Hogar Fibra 500Mbps;Hogar;2024-08-11;  El Agustino  ;Vendedor 38;camila.vega@entel.pe;2x1 accesorios;1979.43;0.5;989.72
ENT2024-00085;  Fernando  ;Gutiérrez;Tablet Samsung Tab A8;Postpago 100GB;Empresa;2024-08-18;Jesús María;Vendedor 49;fernando.gutiérrez@entel.pe;Instalación gratis;3679.52;0.5;1839.76
ENT2024-00086;Marisol;Luna;Router 4G Entel;Hogar Fibra 200Mbps;Empresa;2024-01-15;Magdalena del Mar;Vendedor 21;marisol.luna@entel.pe;Descuento 20%;4436.01;0.1;3992.41
ENT2024-00087;Laura;Díaz;Samsung A54;Prepago 30GB;Empresa;2024-05-23;Villa El Salvador;Vendedor 45;laura.díaz@entel.pe;2x1 accesorios;5644.47;0.2;4515.58
ENT2024-00088;Sandra;  García  ;Oppo Reno10;;Postpago;2024-05-03;  El Agustino  ;Vendedor 27;sandra.garcía2@entel.pe;Instalación gratis;1979.91;0;1979.91
ENT2024-00089;Sandra;Salgado;Motorola Moto G54;Hogar Fibra 500Mbps;Hogar;17/08/2024;Lima;Vendedor 06;sandra.salgado@entel.pe;2x1 accesorios;1705.11;0.1;1534.6
ENT2024-00090;Sofía;  Chávez  ;Router 5G Entel;Prepago 10GB;Empresa;2024-12-05;  Ate  ;Vendedor 24;sofía.chávez@entel.pe;Instalación gratis;5751.58;0.1;5176.42
ENT2024-00091;Sandra;  Reyes  ;Samsung A54;;Empresa;2024-06-29;Los Olivos;Vendedor 30;sandra.reyes@entel.pe;;6631.17;0.1;5968.05
ENT2024-00092;Elena;  Morales  ;Motorola Moto G54;Postpago 100GB;Prepago;10/06/2024;La Molina;Vendedor 48;elena.morales@entel.pe;Descuento 20%;455.52;0;455.52
ENT2024-00093;  Carmen  ;  Díaz  ;Router 5G Entel;Hogar Fibra 500Mbps;Empresa;2024-10-28;Lince;Vendedor 39;carmen.díaz@entel.pe;2x1 accesorios;5333.1;0.1;4799.79
ENT2024-00094;  Pedro  ;Rojas;Huawei P60;Prepago 10GB;Empresa;2024-04-01;Comas;Vendedor 01;pedro.rojas@entel.pe;Descuento 20%;6236.77;0.1;5613.09
ENT2024-00095;Verónica;López;Samsung Galaxy S24;Prepago 30GB;Prepago;2024-11-22;  Magdalena del Mar  ;Vendedor 07;verónica.lópez2@entel.pe;Sin promo;307.86;0;307.86
ENT2024-00096;Marisol;Mendoza;Xiaomi 13T;Hogar Fibra 500Mbps;Hogar;2024-06-23;Barranco;Vendedor 04;marisol.mendoza@entel.pe;2x1 accesorios;1743.66;0.2;1394.93
ENT2024-00097;  Andrea  ;Torres;;Postpago 100GB;Hogar;2024-09-08;San Isidro;Vendedor 37;andrea.torres@entel.pe;Sin promo;1492.97;0.5;746.48
ENT2024-00098;Daniel;Vargas;Laptop HP 15;Prepago 30GB;Postpago;2024-05-07;La Molina;Vendedor 36;daniel.vargas@entel.pe;Roaming gratis 1 mes;2675.26;0.5;1337.63
ENT2024-00099;  Beatriz  ;Cáceres;Laptop HP 15;;Hogar;18/08/2024;  Pueblo Libre  ;Vendedor 20;beatriz.cáceres@entel.pe;Roaming gratis 1 mes;1286.24;0.2;1028.99
ENT2024-00100;Elena;Carrasco;Infinix Note 40;Postpago 50GB;Postpago;2024-04-16;  Villa María del Triunfo  ;Vendedor 14;elena.carrasco@entel.pe;2x1 accesorios;1502.86;0;1502.86
ENT2024-00101;  Bruno  ;Pérez;Xiaomi Redmi Note 13;Prepago 10GB;Prepago;2024-10-09;San Isidro;Vendedor 11;bruno.pérez@entel.pe;Sin promo;474.75;0.2;379.8
ENT2024-00102;Gonzalo;Soto;Router 5G Entel;Hogar Fibra 500Mbps;Empresa;2024-01-17;Jesús María;Vendedor 19;gonzalo.soto@entel.pe;2x1 accesorios;3834.48;0.5;1917.24
ENT2024-00103;Agustín;Arias;iPhone 15;;Empresa;2024-11-16;Ate;Vendedor 43;agustín.arias@entel.pe;Descuento 50% en 3 meses;7289.63;0.1;6560.67
ENT2024-00104;Iván;  Torres  ;Oppo Reno10;Prepago 10GB;Prepago;2024-05-16;  Santiago de Surco  ;Vendedor 05;iván.torres@entel.pe;Sin promo;150.5;0.5;75.25
ENT2024-00105;María;Castillo;Infinix Note 40;Prepago 30GB;Hogar;2024-03-04;Pueblo Libre;Vendedor 45;maría.castillo@entel.pe;2x1 accesorios;843.7;0.2;674.96
ENT2024-00106;Agustín;Chávez;Huawei P60;Hogar Fibra 500Mbps;Hogar;2024-02-11;Villa El Salvador;Vendedor 03;agustín.chávez@entel.pe;Roaming gratis 1 mes;888.1;0.2;710.48
ENT2024-00107;Renzo;Salazar;Infinix Note 40;Prepago 30GB;Postpago;2024-02-16;  Jesús María  ;Vendedor 44;renzo.salazar2@entel.pe;Sin promo;2989.43;0;2989.43
ENT2024-00108;Nahuel;Mejía;Tablet Samsung Tab A8;;Postpago;2024-03-30;Magdalena del Mar;Vendedor 34;nahuel.mejía@entel.pe;Instalación gratis;2683.89;0.5;1341.94
ENT2024-00109;Verónica;Sánchez;Infinix Note 40;Hogar Fibra 200Mbps;Hogar;2024-02-16;Magdalena del Mar;Vendedor 23;verónica.sánchez@entel.pe;Roaming gratis 1 mes;938.64;0;938.64
ENT2024-00110;Ricardo;Salazar;Router 4G Entel;Postpago 100GB;Prepago;2024-06-17;  Chorrillos  ;Vendedor 45;ricardo.salazar@entel.pe;Instalación gratis;461.67;0.5;230.84
ENT2024-00111;Rosa;  Ponce  ;iPhone 14;;Hogar;2024-02-15;  Carabayllo  ;Vendedor 17;rosa.ponce@entel.pe;Bonificación 50GB;1259.09;0;1259.09
ENT2024-00112;  Jorge  ;  Molina  ;iPhone 14;Postpago 50GB;Hogar;2024-07-30;Miraflores;Vendedor 13;jorge.molina@entel.pe;Bonificación 50GB;1159.42;0.2;927.54
ENT2024-00113;  Camila  ;  Salgado  ;Xiaomi 13T;Hogar Fibra 500Mbps;Postpago;2024-04-14;San Martín de Porres;Vendedor 36;camila.salgado@entel.pe;Descuento 20%;1047.75;0;1047.75
ENT2024-00114;  Rosa  ;  Soto  ;Router 5G Entel;Hogar Fibra 500Mbps;Postpago;2024-01-15;  Villa María del Triunfo  ;Vendedor 39;rosa.soto@entel.pe;Descuento 50% en 3 meses;1974.44;0.5;987.22
ENT2024-00115;Felipe;Hernández;Huawei P60;Postpago 50GB;Hogar;2024-02-17;Jesús María;Vendedor 08;felipe.hernández@entel.pe;Instalación gratis;1700.37;0.1;1530.33
ENT2024-00116;  Jorge  ;Tapia;Tablet Samsung Tab A8;Postpago Ilimitado;Hogar;29/05/2024;Lince;Vendedor 46;jorge.tapia@entel.pe;2x1 accesorios;1058.68;0.1;952.81
ENT2024-00117;  Gonzalo  ;  Herrera  ;Xiaomi 13T;;Hogar;2024-10-09;Santiago de Surco;Vendedor 25;gonzalo.herrera@entel.pe;Descuento 50% en 3 meses;1730.09;0.5;865.04
ENT2024-00118;Beatriz;  Paredes  ;Router 5G Entel;Postpago Ilimitado;Postpago;2024-05-21;Chorrillos;Vendedor 22;beatriz.paredes2@entel.pe;2x1 accesorios;2500.7;0.2;2000.56
ENT2024-00119;  Juan  ;Mendoza;Router 5G Entel;Prepago 30GB;Hogar;2024-03-17;Pueblo Libre;Vendedor 35;juan.mendoza@entel.pe;Instalación gratis;1339.93;0;1339.93
ENT2024-00120;  Raúl  ;Medina;Oppo Reno10;Hogar Fibra 200Mbps;Hogar;2024-06-13;San Borja;Vendedor 45;raúl.medina@entel.pe;Descuento 50% en 3 meses;1508.52;0.2;1206.82
ENT2024-00121;Marisol;Huaman;Motorola Moto G54;Hogar Fibra 200Mbps;Postpago;11/06/2024;  El Agustino  ;Vendedor 31;marisol.huaman@entel.pe;Roaming gratis 1 mes;2517.51;0;2517.51
ENT2024-00122;  Óscar  ;  Ponce  ;Laptop HP 15;Postpago Ilimitado;Hogar;2024-01-19;Santiago de Surco;Vendedor 33;óscar.ponce@entel.pe;Bonificación 50GB;967.81;0.5;483.9
ENT2024-00123;  Pedro  ;  Soto  ;iPhone 15;Hogar Fibra 500Mbps;Postpago;2024-03-14;  Chorrillos  ;Vendedor 42;;Descuento 20%;2587.52;0.1;2328.77
ENT2024-00124;  Diego  ;  Herrera  ;Laptop HP 15;Prepago 30GB;Empresa;2024-11-15;Los Olivos;Vendedor 26;diego.herrera@entel.pe;Mes gratis;4981.8;0.5;2490.9
ENT2024-00125;Ricardo;  Mejía  ;Tablet Samsung Tab A8;Hogar Fibra 200Mbps;Empresa;2024-11-16;  Los Olivos  ;Vendedor 49;ricardo.mejía@entel.pe;Instalación gratis;3711.58;0.1;3340.42
ENT2024-00126;Mónica;López;Infinix Note 40;Postpago 100GB;Prepago;2024-11-19;Surquillo;Vendedor 19;mónica.lópez@entel.pe;Descuento 50% en 3 meses;460.2;0.2;368.16
ENT2024-00127;Renzo;Pérez;iPhone 14;Postpago 100GB;Postpago;2024-08-15;  Barranco  ;Vendedor 45;renzo.pérez@entel.pe;2x1 accesorios;2807.33;0.5;1403.66
ENT2024-00128;  Luis  ;López;;Postpago 50GB;Empresa;2024-07-02;  San Juan de Lurigancho  ;Vendedor 28;luis.lópez@entel.pe;Descuento 20%;4264.6;0.5;2132.3
ENT2024-00129;Natalia;Reyes;iPhone 14;Postpago Ilimitado;Prepago;2024-03-30;  San Isidro  ;Vendedor 40;natalia.reyes@entel.pe;Roaming gratis 1 mes;259.7;0;259.7
ENT2024-00130;Camila;Mejía;Motorola Moto G54;Hogar Fibra 500Mbps;Prepago;2024-04-28;Pueblo Libre;Vendedor 41;camila.mejía@entel.pe;2x1 accesorios;385.16;0.1;346.64
ENT2024-00131;  Pablo  ;Morales;Router 4G Entel;Postpago 50GB;Hogar;2024-05-27;Surquillo;Vendedor 35;pablo.morales@entel.pe;Descuento 20%;1245.88;0.1;1121.29
ENT2024-00132;  Diego  ;  Soto  ;Samsung A54;Prepago 30GB;Hogar;2024-12-19;San Martín de Porres;Vendedor 30;diego.soto@entel.pe;2x1 accesorios;1045.63;0.1;941.07
ENT2024-00133;  Carmen  ;Huaman;Tablet Samsung Tab A8;;Postpago;2024-05-01;Callao;Vendedor 37;carmen.huaman@entel.pe;Bonificación 50GB;1260.83;0;1260.83
ENT2024-00134;Marisol;  Mendoza  ;;Prepago 30GB;Postpago;2024-12-03;Callao;Vendedor 18;;Sin promo;2919.24;0.5;1459.62
